Symbol,Score (out of 10),Market Cap ($B),Revenue Growth (%),EPS Growth (%),Profit Margin (%),PEG Ratio,P/E Ratio,Debt/Equity (%),Current Price ($)
OPFI,4,0.905364544,20.3,,-10.441,,,146.198,10.37
CARS,3,0.665147456,-0.1,-35.3,5.7140004,,17.459677,98.362,10.825
ATUS,3,1.202073856,-4.2,,-3.0700000000000003,,,,2.565
BMBL,2,0.805931584,-7.6,,-82.41200400000001,,,62.418,5.365
ARQQ,2,0.915924352,-43.7,,2709.129,,,5.213,59.895
FUBO,2,1.354322944,-2.8000000000000003,,5.505,,20.81579,93.729,3.955
PD,2,1.508726784,6.4,,-2.871,,,206.582,16.18
TDOC,2,1.58756544,-1.6,,-8.155999999999999,,,72.784,8.985
SONO,2,1.952216448,-13.200000000000001,,-5.414,,,15.57,16.15
PUBM,2,0.375820448,5.7,,-0.58399998,,,18.769,8.2195
SPIR,1,0.422642592,-31.4,,-98.420995,,,2033.735,13.6
JKS,1,1.227261952,-39.900000000000006,,-2.2560000000000002,,,134.632,23.76
